row_id,system_tokens,user_tokens,total_tokens,sample_total_tokens,sample_avg_tokens,sample_max_tokens,sample_token_share_user,hierarchy_total_tokens,hierarchy_avg_tokens,hierarchy_max_tokens,hierarchy_token_share_user,Sample1_tokens,Sample2_tokens,Sample3_tokens,Hierarchy1_tokens,Hierarchy2_tokens,Hierarchy3_tokens
219,10,7124,7134,3191,1063.67,2193,0.447923,2498,832.67,863,0.350646,530,468,2193,863,863,772
220,10,4658,4668,2079,693.0,1254,0.446329,2041,680.33,863,0.438171,642,183,1254,863,589,589
221,10,5729,5739,2258,752.67,1704,0.394135,2589,863.0,863,0.451911,248,1704,306,863,863,863
222,10,4987,4997,2615,871.67,1973,0.524363,1865,621.67,863,0.373972,417,225,1973,863,501,501
223,10,7665,7675,2924,974.67,1776,0.381474,2174,724.67,863,0.283627,1776,935,213,863,863,448
224,10,4351,4361,985,328.33,441,0.226385,2589,863.0,863,0.595036,441,133,411,863,863,863
225,10,4155,4165,1234,411.33,426,0.296992,2316,772.0,772,0.557401,383,425,426,772,772,772
226,10,22784,22794,14252,4750.67,8229,0.625527,2173,724.33,863,0.095374,3648,8229,2375,863,655,655
227,10,5762,5772,2949,983.0,1067,0.511801,2315,771.67,863,0.40177,881,1001,1067,589,863,863
228,10,6130,6140,2267,755.67,1445,0.369821,2498,832.67,863,0.407504,285,1445,537,863,863,772
229,10,6214,6224,3476,1158.67,2885,0.559382,2174,724.67,863,0.349855,2885,193,398,863,863,448
230,10,5597,5607,1401,467.0,751,0.250313,2589,863.0,863,0.462569,355,751,295,863,863,863
231,10,11713,11723,8442,2814.0,3908,0.720738,2174,724.67,863,0.185606,3908,3223,1311,863,863,448
232,10,10979,10989,2354,784.67,1064,0.214409,2498,832.67,863,0.227525,1064,460,830,863,863,772
233,10,8547,8557,5288,1762.67,4862,0.618697,2225,741.67,863,0.260325,268,4862,158,863,863,499
234,10,8290,8300,2042,680.67,931,0.246321,2498,832.67,863,0.301327,530,581,931,863,772,863
235,10,4772,4782,1395,465.0,827,0.29233,2498,832.67,863,0.52347,381,187,827,863,863,772
236,10,4226,4236,946,315.33,562,0.223852,2709,903.0,983,0.641032,562,287,97,863,863,983
237,10,4874,4884,1569,523.0,827,0.321912,2589,863.0,863,0.531186,379,827,363,863,863,863
